iter	Passed	Remaining
473	659	732
474	660	730
475	661	728
476	662	726
477	663	724
478	664	722
479	665	720
480	666	719
481	667	717
482	668	715
483	670	714
484	671	712
485	672	710
486	672	708
487	673	706
488	674	705
489	675	703
490	676	701
491	677	699
492	678	697
493	679	695
494	680	693
495	681	692
496	682	690
497	683	688
498	684	686
499	685	685
500	686	683
501	687	682
502	688	680
503	689	678
504	690	676
505	691	674
506	692	672
507	692	671
508	693	669
509	694	667
510	695	666
511	696	664
512	698	662
513	699	661
514	700	659
515	701	658
516	702	656
517	703	654
518	704	653
519	705	651
520	706	649
521	707	647
522	708	646
523	709	644
524	710	642
525	711	640
526	712	639
527	713	637
528	714	636
529	715	634
530	716	632
531	717	631
532	718	629
533	719	627
534	720	625
535	721	624
536	721	622
537	722	620
538	723	619
539	724	617
540	726	616
541	727	614
542	728	612
543	729	611
544	730	609
545	731	608
546	732	606
547	733	604
548	734	603
549	735	601
550	735	599
551	736	598
552	737	596
553	738	594
554	739	593
555	740	591
556	741	589
557	742	588
558	743	586
559	744	585
560	745	583
561	746	582
562	747	580
563	748	578
564	749	576
565	750	575
566	751	573
567	752	572
568	753	570
569	753	568
570	754	567
571	756	565
572	757	564
573	758	562
574	759	561
575	759	559
576	760	557
577	761	556
578	762	554
579	763	553
580	764	551
581	765	549
582	766	548
583	767	546
584	768	545
585	769	543
586	771	542
587	772	540
588	772	539
589	773	537
590	774	536
591	775	534
592	776	533
593	777	531
594	778	529
595	779	528
596	780	526
597	782	525
598	783	524
599	785	523
600	786	522
601	788	521
602	789	519
603	790	518
604	792	517
605	793	515
606	793	514
607	794	512
608	795	510
609	796	509
610	797	507
611	799	506
612	800	505
613	801	503
614	802	502
615	803	500
616	804	499
617	805	497
618	805	496
619	806	494
620	807	492
621	808	491
622	809	489
623	810	488
624	811	486
625	812	485
626	813	484
627	814	482
628	816	481
629	817	479
630	818	478
631	819	476
632	820	475
633	821	473
634	821	472
635	822	470
636	823	469
637	824	467
638	825	466
639	826	465
640	827	463
641	828	462
642	830	460
643	831	459
644	832	458
645	833	456
646	834	455
647	835	453
648	836	452
649	837	451
650	838	449
651	839	448
652	840	446
653	841	445
654	843	444
655	844	442
656	845	441
657	846	439
658	847	438
659	848	437
660	849	435
661	850	434
662	851	432
663	852	431
664	853	429
665	854	428
666	855	427
667	856	425
668	857	424
669	858	422
670	859	421
671	860	420
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	410
679	868	408
680	869	407
681	870	405
682	871	404
683	873	403
684	874	401
685	875	400
686	876	399
687	877	397
688	878	396
689	879	395
690	880	393
691	881	392
692	882	390
693	883	389
694	884	388
695	885	386
696	886	385
697	887	384
698	888	382
699	889	381
700	891	380
701	892	378
702	893	377
703	894	376
704	895	374
705	896	373
706	897	371
707	898	370
708	899	369
709	900	367
710	901	366
711	902	364
712	903	363
713	904	362
714	905	361
715	906	359
716	907	358
717	908	356
718	909	355
719	910	354
720	911	352
721	912	351
722	913	350
723	914	348
724	915	347
725	916	346
726	917	344
727	919	343
728	920	342
729	921	340
730	922	339
731	923	338
732	924	336
733	925	335
734	926	333
735	926	332
736	927	331
737	928	329
738	930	328
739	931	327
740	932	325
741	933	324
742	934	323
743	936	322
744	937	320
745	938	319
746	939	318
747	940	316
748	941	315
749	942	314
750	943	312
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	953	299
761	954	298
762	955	296
763	956	295
764	957	294
765	958	292
766	959	291
767	960	290
768	961	288
769	963	287
770	964	286
771	965	285
772	966	283
773	967	282
774	968	281
775	969	279
776	970	278
777	971	277
778	972	275
779	972	274
780	973	273
781	974	271
782	975	270
783	976	269
784	977	267
785	978	266
786	980	265
787	981	263
788	982	262
789	983	261
790	984	260
791	985	258
792	986	257
793	987	256
794	988	254
795	989	253
796	990	252
797	991	250
798	992	249
799	993	248
800	994	247
801	995	245
802	996	244
803	997	243
804	998	241
805	999	240
806	1000	239
807	1001	237
808	1001	236
809	1002	235
810	1003	233
811	1004	232
812	1006	231
813	1007	230
814	1008	228
815	1009	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1016	218
823	1017	217
824	1018	215
825	1019	214
826	1020	213
827	1021	212
828	1022	210
829	1023	209
830	1025	208
831	1025	207
832	1026	205
833	1027	204
834	1028	203
835	1029	201
836	1030	200
837	1031	199
838	1032	198
839	1033	196
840	1034	195
841	1035	194
842	1036	193
843	1037	191
844	1038	190
845	1040	189
846	1041	188
847	1042	186
848	1043	185
849	1043	184
850	1044	182
851	1045	181
852	1046	180
853	1047	179
854	1048	177
855	1049	176
856	1050	175
857	1051	174
858	1052	172
859	1053	171
860	1055	170
861	1055	169
862	1056	167
863	1057	166
864	1058	165
865	1059	163
866	1060	162
867	1061	161
868	1062	160
869	1063	158
870	1064	157
871	1064	156
872	1066	155
873	1067	153
874	1068	152
875	1069	151
876	1070	150
877	1071	148
878	1072	147
879	1073	146
880	1074	145
881	1075	143
882	1076	142
883	1077	141
884	1078	140
885	1078	138
886	1079	137
887	1080	136
888	1081	135
889	1083	133
890	1084	132
891	1085	131
892	1086	130
893	1087	128
894	1087	127
895	1088	126
896	1089	125
897	1090	123
898	1091	122
899	1092	121
900	1093	120
901	1094	118
902	1095	117
903	1096	116
904	1097	115
905	1098	113
906	1099	112
907	1100	111
908	1101	110
909	1102	109
910	1103	107
911	1104	106
912	1105	105
913	1106	104
914	1107	102
915	1108	101
916	1109	100
917	1110	99
918	1111	97
919	1112	96
920	1114	95
921	1115	94
922	1116	93
923	1117	91
924	1117	90
925	1118	89
926	1119	88
927	1120	86
928	1121	85
929	1122	84
930	1123	83
931	1124	82
932	1125	80
933	1126	79
934	1128	78
935	1129	77
936	1130	75
937	1131	74
938	1132	73
939	1133	72
940	1133	71
941	1134	69
942	1135	68
943	1136	67
944	1137	66
945	1138	64
946	1139	63
947	1140	62
948	1141	61
949	1142	60
950	1143	58
951	1144	57
952	1145	56
953	1146	55
954	1147	54
955	1148	52
956	1149	51
957	1150	50
958	1151	49
959	1152	48
960	1153	46
961	1154	45
962	1155	44
963	1156	43
964	1157	41
965	1158	40
966	1159	39
967	1160	38
968	1161	37
969	1162	35
970	1163	34
971	1164	33
972	1165	32
973	1166	31
974	1167	29
975	1168	28
976	1169	27
977	1170	26
978	1171	25
979	1173	23
980	1174	22
981	1175	21
982	1176	20
983	1177	19
984	1178	17
985	1179	16
986	1180	15
987	1181	14
988	1182	13
989	1183	11
990	1184	10
991	1185	9
992	1186	8
993	1187	7
994	1188	5
995	1189	4
996	1190	3
997	1191	2
998	1192	1
999	1193	0
